season,team,epa,pass_epa,rush_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,qb_epa,xyac_epa,success,yards_gained,plays
2019.0,CIN,-0.068104066,-0.12710674,-0.08590872,0.532714,-0.5137172,0.06757685,0.1508763,-0.05531538,0.6751983,0.40697673,3.8092782,1358
2019.0,CLE,-0.041597217,-0.040722653,-0.053814825,0.56681013,-0.4767255,0.06047114,0.16311239,-0.03355859,0.6877106,0.40766284,4.2466927,1287
2019.0,DAL,0.05712612,0.18438467,0.032090884,0.6418809,-0.36903054,0.12662973,0.15475404,0.06422205,0.58355004,0.46530315,5.1322436,1350
2019.0,DEN,-0.050155226,-0.06899314,-0.06697982,0.3243625,-0.243881,0.015201434,0.17645605,-0.042820625,0.78776556,0.4,3.8140464,1255
2019.0,DET,-0.040347226,0.016897243,-0.13134778,0.64534616,-0.49403146,0.10078247,0.14024861,-0.034797516,0.6797765,0.40014738,4.1348734,1344
2019.0,GB,0.028744936,0.09911135,0.003893343,0.554353,-0.3265683,0.042220756,0.19906001,0.03853757,0.73502237,0.42857143,4.2021565,1485
2019.0,HOU,0.019457784,0.082477525,0.008429249,0.58401024,-0.34008193,0.06560241,0.18075986,0.029925056,0.7268152,0.43527082,4.4117646,1499
2019.0,IND,-0.026835015,-0.050127596,0.05430581,0.48457944,-0.4168669,0.023990957,0.16815913,-0.017875897,0.6972771,0.43366188,4.0107117,1310
2019.0,JAX,-0.04593591,-0.04761116,-0.053970437,0.37824097,-0.27641767,0.031705968,0.18072487,-0.042860743,0.7408211,0.39806548,4.13283,1329
2019.0,KC,0.1157417,0.22987849,0.030495755,0.4727507,-0.15860924,0.060239617,0.21715692,0.12358198,0.73133457,0.47904578,4.795798,1531
2019.0,LA,-0.011012854,0.09331575,-0.14104104,0.43929672,-0.2546417,0.06666627,0.19868441,-0.011012854,0.67495733,0.43911174,4.3572984,1377
2019.0,LAC,0.0037464045,0.09676424,-0.09837513,0.5179514,-0.30555478,0.066114925,0.21167764,0.013020165,0.7249623,0.46481052,4.594531,1281
2019.0,LV,-0.010606274,0.14540535,-0.07754653,0.3320576,-0.088246815,0.03439677,0.20434442,0.0041283364,0.7502083,0.4373541,4.618254,1262
2019.0,MIA,-0.07243531,-0.07218049,-0.16469988,0.5838887,-0.51294327,0.08363744,0.14350481,-0.057699602,0.68100697,0.40743494,3.7252252,1333
2019.0,MIN,0.0048683593,0.10562322,-0.050316267,0.37166318,-0.12246362,0.037625905,0.17940821,0.01622413,0.7550626,0.41398603,4.386202,1407
2019.0,NE,-0.016987177,0.012035953,-0.055901486,0.41092598,-0.3202581,0.038347624,0.18720263,-0.0050762473,0.7072253,0.42286873,4.100892,1459
2019.0,NO,0.039334126,0.16165394,-0.0307375,0.22401144,0.03358626,0.0060708034,0.22255784,0.039334126,0.7366881,0.46268657,4.5432277,1388
2019.0,NYG,-0.07080628,-0.08219912,-0.052536733,0.4695543,-0.3882987,0.06339257,0.1660076,-0.06660943,0.67005175,0.41278195,4.143731,1310
2019.0,NYJ,-0.13256721,-0.14463963,-0.17101851,0.4578843,-0.44539505,0.006538535,0.17420395,-0.1283525,0.68056554,0.37131783,3.4549763,1267
2019.0,PHI,-0.005377184,0.012150705,-0.06232885,0.44109687,-0.31115445,0.041259743,0.16292608,0.010252869,0.7267879,0.44414893,4.0821548,1485
2019.0,PIT,-0.13336354,-0.13636462,-0.2302843,0.33016714,-0.37830266,-0.027748259,0.19801232,-0.1197629,0.8045039,0.38430744,3.5854251,1235
2019.0,SEA,0.006933061,0.12106731,-0.05809291,0.772491,-0.48754746,0.08991007,0.13923556,0.029125638,0.6980516,0.44178525,4.423329,1529
2019.0,SF,0.047685217,0.14461753,0.0024980828,0.34018216,-0.024437854,0.032300394,0.20653121,0.04914813,0.71808845,0.45190445,4.658808,1527
2019.0,TB,-0.028718151,0.050745826,-0.10171974,0.77957743,-0.5923389,0.1398337,0.16037826,-0.022206578,0.66400325,0.42023894,4.521986,1410
2019.0,TEN,0.02984715,0.104369566,0.034857493,0.59739476,-0.26284778,0.07570762,0.16101637,0.034527242,0.6671142,0.4401596,4.5155616,1480
2019.0,WAS,-0.10833682,-0.16606839,-0.10599733,0.4128718,-0.37898725,0.03996692,0.14982294,-0.09986164,0.73069555,0.38640133,3.6980655,1190
2020.0,ARI,0.017034711,0.011718314,0.07191189,0.486299,-0.36287203,0.04935235,0.1624281,0.028028885,0.7127028,0.44539616,4.439394,1389
2020.0,ATL,0.025502674,0.08892504,-0.09427249,0.5626774,-0.3552825,0.10491985,0.1506535,0.03259742,0.6706692,0.4295011,4.3233137,1365
